Supported,Bitmap Command,Redis Version,Note
-,BITCOUNT,2.6.0,
-,BITFIELD,3.2.0,
-,BITFIELD_RO,6.0.0,
-,BITOP,2.6.0,
-,BITPOS,2.8.7,
-,GETBIT,2.2.0,
-,SETBIT,2.2.0,
Supported,Connection Command,Redis Version,Note
O,ECHO,1.0.0,
O,PING,1.0.0,
O,QUIT,1.0.0,
O,SELECT,1.0.0,
Supported,Generic Command,Redis Version,Note
-,COPY,6.2.0
O,DEL,1.0.0,
-,DUMP,2.6.0
O,EXISTS,1.0.0
O,EXPIRE,1.0.0
O,EXPIREAT,1.2.0
-,EXPIRETIME,7.0.0
O,KEYS,1.0.0
-,MOVE,1.0.0
-,MIGRATE,2.6.0
-,OBJECT ENCODING,2.2.3
-,OBJECT FREQ,4.0.0
-,OBJECT HELP,6.2.0
-,OBJECT IDLETIME,2.6.0
-,OBJECT REFCOUNT,2.2.3
-,PERSIST,2.2.0
-,PEXPIRE,2.6.0
-,PEXPIREAT,2.6.0
-,PEXPIRETIME,7.0.0
-,PTTL,2.6.0
-,RANDOMKEY,1.0.0
O,RENAME,1.0.0
O,RENAMENX,1.0.0
-,RESTORE,2.8.0
-,SCAN,2.8.0
-,SORT,1.0.0
-,SORT_RO,7.0.0,
-,TOUCH,3.2.1,
O,TTL,1.0.0,
O,TYPE,1.0.0,
-,UNLINK,4.0.0,
-,WAIT,3.0.0,
Supported,Hash Command,Redis Version,Note
-,HDEL,2.0.0,
-,HEXISTS,2.0.0,
O,HGET,2.0.0,
O,HGETALL,2.0.0,
-,HINCRBY,2.0.0,
-,HINCRBYFLOAT,2.6.0,
-,HKEYS,2.0.0,
-,HLEN,2.0.0,
O,HMGET,2.0.0,
O,HMSET,2.0.0,
-,HRANDFIELD,6.2.0,
-,HSCAN,2.8.0,
O,HSET,2.0.0,
-,HSETNX,2.0.0,
-,HSTRLEN,3.2.0,
-,HVALS,2.0.0,
Supported,String Command,Redis Version,Note
O,APPEND,2.0.0,
O,DECR,1.0.0,
O,DECRBY,1.0.0,
O,GET,1.0.0,
-,GETDEL,6.2.0,
-,GETEX,6.2.0,
-,GETRANGE,2.4.0,
O,GETSET,1.0.0,
O,INCR,1.0.0,
O,INCRBY,1.0.0,
-,INCRBYFLOAT,2.6.0,
-,LCS,7.0.0,
O,MGET,1.0.0,
O,MSET,1.0.1,
O,MSETNX,1.0.1,
-,PSETNX,2.6.0,
O,SET,1.0.0,Any options are not supported yet
-,SETEX,2.0.0,
O,SETNX,2.0.0,
-,SERANGE,2.2.0,
-,STRLEN,2.2.0,
-,SUBSTR,1.0.0,
